_id,time,txt
ObjectId("5d08a1078541638b5c24c0e1"),昨天 14:08,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月17日13时43分在印尼弗洛勒斯岛附近海域（南纬8.90度，东经123.00度）发生5.4级地震，震源深度100千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0e2"),15小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月18日00时37分在四川宜宾市长宁县（北纬28.39度，东经104.87度）发生4.2级地震，震源深度10千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0e3"),15小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日00时37分在四川宜宾市长宁县附近（北纬28.37度，东经104.85度）发生4.2级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0e4"),1小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日14时38分在四川宜宾市珙县附近（北纬28.40度，东经104.77度）发生3.6级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0e5"),2小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月18日13时14分在斐济群岛以南海域（南纬25.48度，东经178.19度）发生5.4级地震，震源深度600千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0e6"),8小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日08时14分在四川宜宾市长宁县附近（北纬28.45度，东经104.80度）发生3.7级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0e7"),8小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&extparam=%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#四川长宁6.0级地震#</span></a>截至6月18日8时整，共记录到2.0级及以上余震62次，其中5.0-5.9级2次，4.0-4.9级3次，3.0-3.9级10次，2.0-2.9级47次，目前最大余震5.3级。 
ObjectId("5d08a1078541638b5c24c0e8"),14小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日01时58分在西藏日喀则市定日县附近（北纬28.07度，东经87.25度）发生4.2级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0e9"),14小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&extparam=%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#四川长宁6.0级地震#</span></a>据宜宾市委宣传部消息，截止6月18日凌晨1点20分，地震已造成全市19人受伤、1人失踪、9人被困，2人死亡。其中，长宁县1人死亡，15人受伤，被困9人；珙县1人死亡，4人受伤。相关救援人员正在开展紧张救援工作。<a href='/n/四川发布'>@四川发布</a> 
ObjectId("5d08a1078541638b5c24c0ea"),14小时前,注意安全<span class="url-icon"><img alt=[作揖] src="//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-cb12e18fd5.png" style="width:1em; height:1em;" /></span>
